User: Hiếu | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 14h46
User: Hiếu | Score: 4/40 | Duration: 1 phút | SubmittedAt: 2025/08/15 14h47
User: TRANG.HV | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 14h56
User: TRANG.HV | Score: 34/40 | Duration: 25 phút | SubmittedAt: 2025/08/15 15h30
User: TRANG.HV | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 15h31
User: Hiếu | Score: 10/40 | Duration: 2 phút | SubmittedAt: 2025/08/15 15h32
User: TRANG.HV | Score: 1/40 | Duration: 3 phút | SubmittedAt: 2025/08/15 15h40
User: Hiếu | Score: 0/40 | Duration: 3 phút | SubmittedAt: 2025/08/15 15h45
User: TRANG.HV | Score: 1/40 | Duration: 1 phút | SubmittedAt: 2025/08/15 15h51
User: TRANG.HV | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 15h51
User: TRANG | Score: 20/40 | Duration: 14 phút | SubmittedAt: 2025/08/15 16h02
User: Uyên | Score: 7/40 | Duration: 5 phút | SubmittedAt: 2025/08/15 19h59
User: Uyên | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 19h59
User: Uyên | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 20h16
User: HIẾU | Score: 11/40 | Duration: 1 phút | SubmittedAt: 2025/08/15 20h22
User: ỷang | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 20h47
User: U | Score: 34/40 | Duration: 7 phút | SubmittedAt: 2025/08/15 20h48
User: U | Score: 27/40 | Duration: 12 phút | SubmittedAt: 2025/08/15 21h07
User: U | Score: 24/40 | Duration: 19 phút | SubmittedAt: 2025/08/15 21h32
User: ỷang | Score: 29/40 | Duration: 10 phút | SubmittedAt: 2025/08/15 21h54
User: ỷang | Score: 28/40 | Duration: 13 phút | SubmittedAt: 2025/08/15 22h07
User: ỷang | Score: 0/40 | Duration: 0 phút | SubmittedAt: 2025/08/15 22h08
